v8-version,4,4,63,30,0
shared-library,"/home/vagrant/.nvm/versions/io.js/v3.3.1/bin/iojs",0x00400000,0x015e8000
shared-library,"30cd46cb7000-30cd46cb8000",0x30cd46cb7000,0x30cd46cb8000
shared-library,"/lib/x86_64-linux-gnu/libc-2.27.so",0x7fcd18b80000,0x7fcd18d67000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.27.so",0x7fcd18f71000,0x7fcd18f8b000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7fcd19190000,0x7fcd191a7000
shared-library,"/lib/x86_64-linux-gnu/libm-2.27.so",0x7fcd193a8000,0x7fcd19545000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25",0x7fcd19746000,0x7fcd198bf000
shared-library,"/lib/x86_64-linux-gnu/librt-2.27.so",0x7fcd19acf000,0x7fcd19ad6000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.27.so",0x7fcd19cd7000,0x7fcd19cda000
shared-library,"/lib/x86_64-linux-gnu/ld-2.27.so",0x7fcd19edb000,0x7fcd19f02000
shared-library,"[vdso]",0x7ffd80feb000,0x7ffd80fed000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
code-creation,Stub,2,0x23d2c906000,380,"CEntryStub"
code-creation,Stub,2,0x23d2c906180,556,"CEntryStub"
code-creation,Stub,2,0x23d2c9063c0,168,"StoreBufferOverflowStub"
code-creation,Stub,2,0x23d2c906480,388,"StoreBufferOverflowStub"
code-creation,Stub,2,0x23d2c906620,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x23d2c9066a0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x23d2c906720,466,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c906900,430,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c906ac0,486,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c906cc0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c906e80,426,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c907040,426,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c907200,446,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x23d2c9073c0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x23d2c907580,586,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c9077e0,546,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c907a20,602,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c907c80,566,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c907ec0,570,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c908100,570,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c908340,566,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x23d2c908580,566,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x23d2c9087c0,554,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c908a00,514,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c908c20,570,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x23d2c908e60,534,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x23d2c909080,546,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c9092c0,546,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x23d2c909500,482,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x23d2c909700,482,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x23d2c909900,2723,"RecordWriteStub"
code-creation,Stub,2,0x23d2c90a3c0,2680,"RecordWriteStub"
code-creation,Stub,2,0x23d2c90ae40,486,"CreateAllocationSiteStub"
code-creation,Stub,2,0x23d2c90b040,2722,"RecordWriteStub"
code-creation,Stub,2,0x23d2c90bb00,2672,"RecordWriteStub"
code-creation,Stub,2,0x23d2c90c580,430,"CreateWeakCellStub"
code-creation,Stub,11,0x23d2c90c740,152,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x23d2c90c7e0,152,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x23d2c90c880,152,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x23d2c90c920,152,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x23d2c90c9c0,152,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x23d2c90ca60,152,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x23d2c90cb00,152,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x23d2c90cba0,152,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x23d2c90cc40,152,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x23d2c90cce0,152,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x23d2c90cd80,152,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x23d2c90ce20,152,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x23d2c90cec0,232,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c90cfc0,414,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x23d2c90d160,442,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x23d2c90d320,232,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c90d420,442,"BinaryOpICStub(ADD:Number*Int32->Number)"
tick,0x7fcd18c90187,14516,0,0x0,4
tick,0x7fcd18c90187,14594,0,0x0,4
tick,0xb0c8ba,14666,0,0x0,4
tick,0xb59748,14747,0,0x0,4
tick,0xb024a8,14820,0,0x0,4
tick,0x7fcd18c90187,14893,0,0x0,4
tick,0xb332ef,14970,0,0x0,4
tick,0xb0836e,15037,0,0x0,4
tick,0x7fcd18c90187,15102,0,0x0,4
tick,0x7fcd1981ab41,15167,0,0x0,4
tick,0x7fcd18c90187,15260,0,0x0,4
